EO1_slozeni	EO2_slozeni
Bazalka posvátná | Bazalka pravá | Borovice lesní | Citron, RAW | Citrónová tráva | Eukalyptus Globulus | Grapefruit | Gurjum Balsam | Hřebíček, list | Jalovec, plod | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Libavka | Máta peprná | Máta rolní | Myrha | Palmarosa | Perilový olej | Pomeranč | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý | Tymián thymol | Vavřín | Zázvor	Bazalka posvátná | Bazalka pravá | Citrónová tráva | Eukalyptus Camaldulensis | Gurjum Balsam | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Levandule | Libavka | Majoránka | Máta peprná | Máta rolní | Myrha | Rozmarýn | Růže stolistá | Smil France | Smrk ztepilý
Bazalka posvátná | Bazalka pravá | Calamus | Cedr himalájský | Citron, RAW | Cypřiš | Heřmánek pravý | Kadidlo Serrata | Kardamom zelený | Kopaiva | Levandule Kašmír | Majoránka | Meduňka | Pačuli | Pomeranč | Řebříček | Řebříček modrý | Šalvěj muškátová | Smil FRANCIE | Vetiver	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Bazalka posvátná | Bazalka pravá | Calamus | Cedr himalájský | Citron, RAW | Cypřiš | Heřmánek pravý | Kadidlo Serrata | Kardamom zelený | Kopaiva | Levandule Kašmír | Majoránka | Meduňka | Pačuli | Pomeranč | Řebříček | Řebříček modrý | Šalvěj muškátová | Smil FRANCIE | Vetiver	Bazalka posvátná | Citron, RAW | Eukalyptus Camaldulensis | Eukalyptus Globulus | Fenykl | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, list | Myrha | Oregano | Perilový olej | Rozmarýn | Růže Damascenská | Růže stolistá | Skořice cejlonská, list | Skořice Kasie | Smil FRANCIE
Boswellia Serrata | Lavandula Angustifolia Flower | Lavandula/Extract | Anthemis Nobilis Flower | Linalool | Linalyl Acetate | Cananga Odorata Flower | Cananga Odorata/Extract | Camphor | Pinene | Mentha Piperita | Mentha Piperita | Origanum Majorana Leaf | Pelargonium Graveolens | Pelargonium Graveolens Flower | Menthol | Beta-Caryophyllene | Limonene | Citronellol | Geranyl Acetate | Cinnamal | Terpineol | Terpinolene | Benzyl Benzoate | Anethole | Alpha-Terpinene | Benzyl Salicylate | Citral | Tanacetum Annuum Flower | Picea Glauca | Helichrysum Italicum Flower | Ormenis Multicaulis Flower	Kadidlo Carterii | Kadidlo Frereana | Kadidlo Sacra | Kadidlo Serrata
	Bazalka posvátná | Bazalka pravá | Borovice lesní | Citron, RAW | Citrónová tráva | Eukalyptus Globulus | Grapefruit | Gurjum Balsam | Hřebíček, list | Jalovec, plod | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Libavka | Máta peprná | Máta rolní | Myrha | Palmarosa | Perilový olej | Pomeranč | Rozmarýn | Růže stolistá | Šalvěj muškátová | Smil FRANCIE | Smrk ztepilý | Tymián thymol | Vavřín | Zázvor
	
	
Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol	Bazalka posvátná | Citron, RAW | Eukalyptus Camaldulensis | Eukalyptus Globulus | Fenykl | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, list | Myrha | Oregano | Perilový olej | Rozmarýn | Růže Damascenská | Růže stolistá | Skořice cejlonská, list | Skořice Kasie | Smil FRANCIE
Anýz | Bazalka posvátná | Bazalka pravá | Citron, RAW | Fenykl | Geránium | Grapefruit | Heřmánek pravý | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kmín římský | Kopaiva | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Máta peprná | Pelyněk roční | Pomeranč | Rozmarýn | Zázvor	Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol
Anýz | Bazalka posvátná | Bazalka pravá | Citron, RAW | Fenykl | Geránium | Grapefruit | Heřmánek pravý | Kadidlo Carterii | Kadidlo Sacra | Kadidlo Serrata | Kmín římský | Kopaiva | Kopál vonný - Palo Santo | Koriandr, semena | Kurkuma, kořen | Máta peprná | Pelyněk roční | Pomeranč | Rozmarýn | Zázvor	Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol
Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol	Bergamot RAW | Heřmánek pravý | Hyssop | Levandule Kašmír | Meduňka | Pomeranč | Řebříček | Rmen (Heřmánek římský) | Smil FRANCIE
Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol	Bazalka posvátná | Citron, RAW | Eukalyptus Camaldulensis | Eukalyptus Globulus | Fenykl | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, list | Myrha | Oregano | Perilový olej | Rozmarýn | Růže Damascenská | Růže stolistá | Skořice cejlonská, list | Skořice Kasie | Smil FRANCIE
Bazalka posvátná | Citron, RAW | Eukalyptus Camaldulensis | Eukalyptus Globulus | Fenykl | Heřmánek pravý | Hřebíček, list | Kadidlo Carterii | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, list | Myrha | Oregano | Perilový olej | Rozmarýn | Růže Damascenská | Růže stolistá | Skořice cejlonská, list | Skořice Kasie | Smil FRANCIE	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
	Melaleuca Quinquenervia | Boswellia Serrata | Lavandula/ Extract | Lavandula Angustifolia Flower | Pinene | Linalool | Limonene | Terpineol | Linalyl Acetate | Camphor | Beta-Caryophyllene | Menthol | Melaleuca Alternifolia Leaf | Terpinolene | Cinnamal | Alpha-Terpinene | Benzyl Alcohol | Geranyl Acetate | Rose Flower/Extract | Boswellia Sacra Resin | Boswellia Carterii Gum | Commiphora Confusa Resin | Rosa Alba Flower | Rosa Centifolia Flower | Rosa Damascena Flower
Bazalka posvátná | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Sacra | Kadidlo Serrata | Kopaiva | Kopál vonný - Palo Santo | Kurkuma, kořen | Máta peprná | Myrha | Oregano | Perilový olej | Rozmarýn | Skořice cejlonská, list | Tea tree | Tymián thymol	Bazalka pravá | Citron, RAW | Eukalyptus Globulus | Hřebíček, list | Kadidlo Serrata | Kafr | Kmín římský | Kopaiva | Myrha | Oregano | Pačuli | Perilový olej | Pomeranč | Skořice cejlonská, list | Tea tree | Zázvor
	
	
