id	created_at	blend_name	ingredients	category
1374	2026-03-03 10:06:00.75605+00	PRAWTEIN Epi	Etiketa PRAWTEIN EPI 100 ML | Lahvička skleněná hnědá lesklá 100 ml široké hrdlo | Uzávěr plastový černý šroubovací na lahvičku 100 ml se širokým hrdlem | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER | PRAWTEIN EPI hmota	PRAWTEIN® – superpotravinové směsi
1375	2026-03-03 10:06:00.75605+00	PRAWTEIN For Boys	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1376	2026-03-03 10:06:00.75605+00	PRAWTEIN For Girls	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1377	2026-03-03 10:06:00.75605+00	PRAWTEIN Frankincense Plus	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1378	2026-03-03 10:06:00.75605+00	PRAWTEIN Ginseng Plus	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1379	2026-03-03 10:06:00.75605+00	PRAWTEIN Gold	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1380	2026-03-03 10:06:00.75605+00	PRAWTEIN Green Miracle	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER | BIO KONOPNÁ SEMÍNKA (Organic Hemp Nuts) Rumunsko	PRAWTEIN® – superpotravinové směsi
1381	2026-03-03 10:06:00.75605+00	PRAWTEIN Hair	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1382	2026-03-03 10:06:00.75605+00	PRAWTEIN Help H	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1383	2026-03-03 10:06:00.75605+00	PRAWTEIN Hemp Synergy	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1384	2026-03-03 10:06:00.75605+00	PRAWTEIN Hemus	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1385	2026-03-03 10:06:00.75605+00	PRAWTEIN Hocy	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1386	2026-03-03 10:06:00.75605+00	PRAWTEIN Hyp	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1387	2026-03-03 10:06:00.75605+00	PRAWTEIN Hypot	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1388	2026-03-03 10:06:00.75605+00	PRAWTEIN I'm Happy	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1389	2026-03-03 10:06:00.75605+00	PRAWTEIN Kids	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1390	2026-03-03 10:06:00.75605+00	PRAWTEIN Love	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1391	2026-03-03 10:06:00.75605+00	PRAWTEIN Mig	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1392	2026-03-03 10:06:00.75605+00	PRAWTEIN Miracle BIO	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1393	2026-03-03 10:06:00.75605+00	PRAWTEIN Moon	BIO RAW KAKAOVÉ BOBY se slupkou | BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | BIO SLUNEČNICOVÝ OLEJ NERAFINOVANÝ ČÍNA | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1394	2026-03-03 10:06:00.75605+00	PRAWTEIN Move It	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1395	2026-03-03 10:06:00.75605+00	PRAWTEIN Ok Dig	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
1396	2026-03-03 10:06:00.75605+00	PRAWTEIN Omega Synergy	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 2 BIO RAW (mořské řasy s konopným olejem)	PRAWTEIN® – superpotravinové směsi
1397	2026-03-03 10:06:00.75605+00	PRAWTEIN Po-w-er	BIO RAW KAKAOVÉ BOBY se slupkou | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem) | BIO JAGGERY POWDER	PRAWTEIN® – superpotravinové směsi
1398	2026-03-03 10:06:00.75605+00	PRAWTEIN Pollen Max	BIO RAW KAKAOVÉ BOBY se slupkou | BIO JAGGERY POWDER | OMEGA KOMPLEX 1 BIO RAW (mořské řasy se slunečnicový olejem)	PRAWTEIN® – superpotravinové směsi
